study,ID,ID_study,ppt_grp,mean_age_days,age_group,year,published,H_Lab,H_Lab_narrow,nationality,scenarios,stimuli,stimuli_2,question,measure,choice_object,xi,ni,s,x1,x2,t
Woo_Spelke_2023b,47,3,Expt 3,244,young,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,visual,puppets,13,16,0.583,12.32,8.73,2.62
Woo_Spelke_2023b,47,4,Expt 4 8mo,244,young,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,visual,puppets,19,24,0.571,11.49,8.55,2.5
Woo_Spelke_2023b,47,5,Expt 4 15mo,450,old,2023,yes,no,no,North_America,help_hinder,movies,real,Who do you like,visual,puppets,21,24,0.564,12.08,9.37,3.05
Tan_Hamlin_2024,48,1,Study 1,539,old,2024,yes,yes,yes,North_America,help_hinder,movies,cartoon,Other,visual,shapes,18,42,,11.74,13.34,-2.24
Tan_Hamlin_2024,48,2,Study 1,539,old,2024,yes,yes,yes,North_America,help_hinder,movies,cartoon,Other,reach,shapes,15,25,,,,
Tan_Hamlin_2024,48,3,Study 2,715,old,2024,yes,yes,yes,North_America,help_hinder,movies,cartoon,Other,visual,shapes,14,38,,9.81,11.43,1.9
Tan_Hamlin_2024,48,4,Study 2,715,old,2024,yes,yes,yes,North_America,help_hinder,movies,cartoon,Other,reach,shapes,19,33,,,,
Geraci_et_al_2025,49,1,Expt 2 Social,5,young,2025,yes,yes,yes,Europe,help_hinder,movies,cartoon,No,visual,shapes,14,18,,45.6,30.1,3.73
Geraci_et_al_2025,49,2,Expt 3 Social,5,young,2025,yes,yes,yes,Europe,help_hinder,movies,cartoon,No,visual,shapes,14,18,,45.2,28.2,3.46
Lucca_et_al_2025,50,1,babylabamsterdam,247,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,4,9,,,,
Lucca_et_al_2025,50,2,babylablmu,242,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,5,10,,,,
Lucca_et_al_2025,50,3,babylabmpib,284,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,1,5,,,,
Lucca_et_al_2025,50,4,babylabosaka,285,young,2025,yes,yes,no,Asia,help_hinder,movies,real,Who do you like,reach,shapes,5,12,,,,
Lucca_et_al_2025,50,5,babylabtrento,233,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,3,8,,,,
Lucca_et_al_2025,50,6,babylabulb,270,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,7,11,,,,
Lucca_et_al_2025,50,7,babylabuva,247,young,2025,yes,yes,no,North_America,help_hinder,movies,real,Who do you like,reach,shapes,3,4,,,,
Lucca_et_al_2025,50,8,babylabvuw,242,young,2025,yes,yes,no,Oceania,help_hinder,movies,real,Who do you like,reach,shapes,4,8,,,,
Lucca_et_al_2025,50,9,beinghumanwroclaw,225,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,9,20,,,,
Lucca_et_al_2025,50,10,biccbabylab,273,young,2025,yes,yes,no,Europe,help_hinder,movies,real,Who do you like,reach,shapes,2,10,,,,
Lucca_et_al_2025,50,11,bllumanitoba,231,young,2025,yes,yes,no,North_America,help_hinder,movies,real,Who do you like,reach,shapes,5,14,,,,
